Category,Phrase
High,yes doctor
High,pain reduced this evening
High,of course this evening
High,done this week
High,i will visit
High,i will brush twice daily
High,i will follow instructions today
High,i will take medicine today
High,gums better next month
High,i will rinse mouth
High,i will arrive on time this week
High,recovery improving
High,i will rinse mouth soon
High,i will attend
High,i will follow treatment
High,i will come tomorrow this evening
High,medicine working this week
High,bleeding reduced next week
High,sure doctor today
High,of course
High,i will book appointment
High,i will rinse mouth tomorrow
High,confirmed next week
High,i will come today this week
High,i will schedule appointment soon
High,absolutely next week
High,done
High,okay doctor
High,yes doctor
High,absolutely this week
High,okay doctor
High,recovery improving next week
High,i will rinse mouth this evening
High,alright doctor tomorrow
High,i will come today this week
High,i will attend
High,of course
High,gums better today
High,i will be there next month
High,i will book appointment
High,okay doctor
High,gums better
High,recovery improving
High,i will use mouthwash next month
High,see you tomorrow
High,absolutely
High,i will arrive on time
High,i will take medicine
High,i will be there
High,of course this week
High,sure doctor today
High,of course this week
High,pain reduced
High,i will schedule appointment
High,i will visit
High,i will come this week
High,swelling reduced this evening
High,sure doctor tomorrow
High,yes doctor this evening
High,i will brush twice daily today
High,i will brush twice daily soon
High,see you tomorrow soon
High,medicine working tomorrow
High,i will follow treatment
High,got it next week
High,confirmed
High,i will follow treatment this evening
High,recovery improving today
High,yes doctor this week
High,i will attend this week
High,yes doctor
High,i will visit soon
High,gums better soon
High,pain reduced today
High,i will follow instructions
High,i will follow treatment
High,confirmed next week
High,gums better
High,confirmed this week
High,recovery improving this evening
High,i will come today
High,yes doctor today
High,confirmed
High,i will come
High,i will follow instructions
High,okay doctor
High,alright doctor today
High,i will visit soon
High,recovery improving
High,i will book appointment
High,i will come tomorrow this evening
High,feeling better
High,i will come soon
High,gums better this evening
High,i will come today today
High,i will come tomorrow
High,absolutely tomorrow
High,i will book appointment soon
High,yes doctor
High,feeling better today
High,done
High,i will attend soon
High,absolutely soon
High,got it next week
High,i will schedule appointment
High,got it tomorrow
High,i will schedule appointment
High,of course
High,got it
High,recovery improving
High,medicine working
High,i will come this week next week
High,done soon
High,i will schedule appointment tomorrow
High,alright doctor
High,i will come tomorrow
High,pain reduced this evening
High,sure doctor next month
High,i will come this week
High,alright doctor
High,i will come this week
High,i understand
High,gums better soon
High,i will brush twice daily
High,yes doctor this week
High,i will come this week
High,got it
High,medicine working soon
High,i will brush twice daily
High,i will come tomorrow
High,swelling reduced
High,i will come today next month
High,medicine working soon
High,feeling better tomorrow
High,definitely next month
High,i will come this week
High,i will schedule appointment
High,confirmed
High,treatment helping
High,absolutely next week
High,i will come
High,i will attend today
High,i understand
High,i will come today today
High,i will follow treatment soon
High,i will follow instructions
High,bleeding reduced
High,i will follow instructions this week
High,i will be there tomorrow
High,medicine working this week
High,feeling better tomorrow
High,alright doctor next week
High,gums better this week
High,medicine working
High,i will use mouthwash
High,i will book appointment this evening
High,swelling reduced tomorrow
High,confirmed
High,okay doctor tomorrow
High,okay doctor today
High,i will use mouthwash tomorrow
High,i will visit
High,i will visit
High,i will take medicine next month
High,alright doctor tomorrow
High,i will come today
High,i will come next week
High,feeling better next month
High,i will use mouthwash today
High,i will follow instructions this evening
High,i will be there tomorrow
High,definitely soon
